,distance
2242,3641
2243,8074
2244,5524
2245,3157
2246,8074
2247,8074
2248,5868
2249,6837
2250,4338
2251,3641
2252,5921
2253,5921
2254,5921
2255,8074
2256,3157
2257,7877
2258,8074
2259,8074
2260,8074
2261,3641
2262,8074
2263,8074
2264,8074
2265,8074
2266,6420
2267,3641
2268,5921
2269,8074
2270,9157
2271,573
2272,3641
2273,3157
2274,3641
2275,6174
2276,8074
2277,9399
2278,8074
2279,9157
2280,5921
2281,8074
2282,8074
2283,7527
2284,8074
2285,5921
2286,8074
2287,8074
2288,5355
2289,5008
2290,3157
2291,8074
2292,3989
2293,8074
2294,14446
2295,8670
2296,8074
2297,3641
2298,6420
2299,5008
2300,8074
2301,4614
2302,5009
2303,6583
2304,3641
2305,9157
2306,8670
2307,5921
2308,8074
2309,7467
2310,5868
2311,8074
2312,6771
2313,3641
2314,8074
2315,5868
2316,8074
2317,8074
2318,9157
2319,5355
2320,3641
2321,9157
2322,8074
2323,8074
2324,8074
2325,5355
2326,5008
2327,9211
2328,7877
2329,8074
2330,3641
2331,5091
2332,8074
2333,14446
2334,4961
2335,3989
2336,8074
2337,7633
2338,4823
2339,627
2340,14325
2341,8074
2342,3157
2343,8163
2344,8074
2345,8074
2346,8074
2347,8074
2348,3157
2349,8074
2350,6837
2351,7877
2352,8074
2353,15035
2354,8074
2355,8074
2356,8074
2357,8074
2358,7294
2359,5091
2360,5524
2361,3641
2362,7877
2363,8074
2364,3157
2365,7527
2366,8608
2367,9157
2368,3641
2369,5009
2370,8074
2371,8074
2372,8074
2373,8074
2374,8074
2375,3641
2376,573
2377,8074
2378,3157
2379,3989
2380,3641
2381,4823
2382,7527
2383,9091
2384,9157
2385,3641
2386,8670
2387,8074
2388,8074
2389,8074
2390,5008
2391,5921
2392,3157
2393,8074
2394,6837
2395,6906
2396,8074
2397,8074
2398,8074
2399,8074
2400,5921
2401,8074
2402,8074
2403,8074
2404,5524
2405,8074
2406,3989
2407,3157
2408,8074
2409,8074
2410,8074
2411,14325
2412,5921
2413,8074
2414,3641
2415,5921
2416,3641
2417,8074
2418,8074
2419,8074
2420,14325
2421,8074
2422,8074
2423,8074
2424,14325
2425,8074
2426,6980
2427,8074
2428,14446
2429,8074
2430,4961
2431,8074
2432,8163
2433,8074
2434,3157
2435,8074
2436,4823
2437,8074
2438,8074
2439,8074
2440,8074
2441,7633
2442,14446
2443,3157
2444,8074
2445,573
2446,0
2447,8973
2448,3641
2449,3157
2450,3157
2451,8074
2452,7527
2453,7527
2454,14446
2455,5524
2456,8074
2457,14446
2458,4961
2459,8074
2460,14446
2461,8074
2462,8074
2463,3641
2464,8973
2465,8074
2466,9157
2467,8074
2468,3157
2469,8074
2470,7939
2471,8074
2472,8074
2473,7527
2474,9157
2475,3157
2476,3157
2477,8074
2478,8074
2479,3641
2480,8074
2481,5008
2482,8074
2483,14446
2484,8074
2485,4961
2486,5921
2487,8074
2488,3641
2489,8074
2490,8074
2491,14446
2492,14446
2493,6190
2494,8074
2495,8074
2496,3157
2497,3641
2498,9157
2499,5921
2500,8074
2501,14325
2502,14446
